JobID|Elapsed|Eligible|End|ReqMem|ReqCPUS|CPUTime|Submit|Start|MaxVMSize|State|User|NodeList|Partition|
5770483_186|2-06:23:37|2023-05-28T23:25:40|2023-06-02T12:14:35|1Gc|1|2-06:23:37|2023-05-28T23:25:40|2023-05-31T05:50:58||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_187|2-06:23:48|2023-05-28T23:25:40|2023-06-02T12:16:04|1Gc|1|2-06:23:48|2023-05-28T23:25:40|2023-05-31T05:52:16||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_188|2-06:26:25|2023-05-28T23:25:40|2023-06-02T12:19:27|1Gc|1|2-06:26:25|2023-05-28T23:25:40|2023-05-31T05:53:02||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_189|2-06:23:47|2023-05-28T23:25:40|2023-06-02T12:18:22|1Gc|1|2-06:23:47|2023-05-28T23:25:40|2023-05-31T05:54:35||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_190|2-06:24:35|2023-05-28T23:25:40|2023-06-02T12:20:15|1Gc|1|2-06:24:35|2023-05-28T23:25:40|2023-05-31T05:55:40||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_191|2-06:31:14|2023-05-28T23:25:40|2023-06-02T12:28:30|1Gc|1|2-06:31:14|2023-05-28T23:25:40|2023-05-31T05:57:16||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_192|2-06:24:46|2023-05-28T23:25:40|2023-06-02T12:24:52|1Gc|1|2-06:24:46|2023-05-28T23:25:40|2023-05-31T06:00:06||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_193|2-06:25:26|2023-05-28T23:25:40|2023-06-02T12:27:52|1Gc|1|2-06:25:26|2023-05-28T23:25:40|2023-05-31T06:02:26||COMPLETED|jitendra.kethepalli|cn20|serial-short|
5770483_194|2-06:21:51|2023-05-28T23:25:40|2023-06-02T12:24:53|1Gc|1|2-06:21:51|2023-05-28T23:25:40|2023-05-31T06:03:02||COMPLETED|jitendra.kethepalli|cn14|serial-short|
5770483_195|2-06:23:11|2023-05-28T23:25:40|2023-06-02T12:27:42|1Gc|1|2-06:23:11|2023-05-28T23:25:40|2023-05-31T06:04:31||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_196|2-06:22:31|2023-05-28T23:25:40|2023-06-02T12:27:15|1Gc|1|2-06:22:31|2023-05-28T23:25:40|2023-05-31T06:04:44||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_197|2-06:26:40|2023-05-28T23:25:40|2023-06-02T12:32:00|1Gc|1|2-06:26:40|2023-05-28T23:25:40|2023-05-31T06:05:20||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_198|2-06:23:46|2023-05-28T23:25:40|2023-06-02T12:29:13|1Gc|1|2-06:23:46|2023-05-28T23:25:40|2023-05-31T06:05:27||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770483_199|2-06:22:08|2023-05-28T23:25:40|2023-06-02T12:27:43|1Gc|1|2-06:22:08|2023-05-28T23:25:40|2023-05-31T06:05:35||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_1|2-06:20:23|2023-05-30T14:38:18|2023-06-02T12:31:31|1Gc|1|2-06:20:23|2023-05-30T14:38:18|2023-05-31T06:11:08||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_2|2-06:22:30|2023-05-30T14:38:18|2023-06-02T12:33:57|1Gc|1|2-06:22:30|2023-05-30T14:38:18|2023-05-31T06:11:27||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_3|2-06:24:28|2023-05-30T14:38:18|2023-06-02T12:35:56|1Gc|1|2-06:24:28|2023-05-30T14:38:18|2023-05-31T06:11:28||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_4|2-06:44:59|2023-05-30T14:38:18|2023-06-02T12:58:32|1Gc|1|2-06:44:59|2023-05-30T14:38:18|2023-05-31T06:13:33||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_5|2-06:20:09|2023-05-30T14:38:18|2023-06-02T12:35:24|1Gc|1|2-06:20:09|2023-05-30T14:38:18|2023-05-31T06:15:15||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_6|2-06:19:55|2023-05-30T14:38:18|2023-06-02T12:36:45|1Gc|1|2-06:19:55|2023-05-30T14:38:18|2023-05-31T06:16:50||COMPLETED|jitendra.kethepalli|cn19|serial-short|
5770963_7|2-06:23:33|2023-05-30T14:38:18|2023-06-02T12:45:25|1Gc|1|2-06:23:33|2023-05-30T14:38:18|2023-05-31T06:21:52||COMPLETED|jitendra.kethepalli|cn19|serial-short|
